age,monthly_income,credit_score,purchase_amount,repayment_delay_days,missed_payments,debt_to_income_ratio,risk_score,employment_type_Salaried,employment_type_Self-Employed,employment_type_Student,employment_type_Unemployed,product_category_Beauty,product_category_Electronics,product_category_Fashion,product_category_Home,product_category_Sports,location_Australia,location_Canada,location_Germany,location_India,location_UK,location_USA,default_flag
0.6159800336812251,0.23696557180115588,-0.5893167102736919,0.6802639911858671,0.7825410004760148,-0.013198100424009903,-0.13345810921405465,0.6286396037707114,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0.6159800336812251,-1.7513310815616536,-1.0073661760880617,-1.7087984949347779,0.19144810402737722,-0.013198100424009903,0.6203188510720692,0.8478018448277128,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
-1.1955351525119877,-0.9922540738278306,-0.8606821529953003,-0.6171053648023341,-1.2862841370942169,-1.0152850647277367,0.8883309570193749,0.13700538734554654,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
-1.6072431493740815,-1.5700945226760021,-1.0807081876344422,-0.6761444515039966,0.6347677763638554,0.9888888638797169,2.3065064749738036,1.2920496307540668,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
0.9453464311709002,-0.8762662123945963,-0.8973531587684906,-0.04260046388878384,-0.10409834419694161,-0.013198100424009903,1.2689373762839642,0.6997192495189282,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
0.03958883807429379,1.3280643947192128,1.581606831499175,0.6802639911858671,-0.251871568309101,-0.013198100424009903,-0.9467848908135612,-1.3319739581175971,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.12509436067054375,1.0806356495738654,0.8921919229631969,0.6802639911858671,0.043674879915217804,-0.013198100424009903,-0.8233489505740293,-0.7159503616330529,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.6983216330536439,-0.5589592994420276,-0.5819825091190539,0.6802639911858671,-0.10409834419694161,-0.013198100424009903,1.189827987885739,0.4450171855878188,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0.6159800336812251,-0.3092213457475572,-0.5453115033458635,0.6802639911858671,-0.8429644647577387,-1.0152850647277367,0.6727941508269647,-0.02884711940029209,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
-1.6072431493740815,-0.5154467413607686,-0.6406561183561584,0.4762439336060762,-1.1385109129820574,-1.0152850647277367,0.9342300192661813,-0.011077207963238097,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
-1.03085195376715,-1.7478569455352628,-0.9706951703148713,-1.0516839204160067,-1.2862841370942169,-1.0152850647277367,2.091386980813491,0.22585494453081734,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0.28661363619155006,-0.20751682234372032,-0.19326984792323648,-1.7726007215981205,-1.1385109129820574,-1.0152850647277367,-0.9546622637419181,-0.3723987405166723,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
1.4393960274054127,0.9097345114942964,1.0608785495198725,0.6802639911858671,-1.1385109129820574,-1.0152850647277367,-0.7212091167709385,-1.3852836924287595,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.2747128286605751,-0.033582569099923895,-1.058705584170528,0.2080639170153342,0.7825410004760148,1.9909758281834438,-0.02114169248596344,1.600061428996339,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
0.3689552355639688,-0.9923904872174456,-0.603985112582968,-1.9287045186176415,-0.6951912406455792,-1.0152850647277367,-0.6412624601297807,0.04815583016027576,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
